City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,pascagoula,US,30.37,-88.56,75.2,41,1,13.87,clear sky
86,arraial do cabo,BR,-22.97,-42.03,71.6,64,75,14.99,broken clouds
87,port alfred,ZA,-33.59,26.89,65.46,84,37,20.04,scattered clouds
88,cap-aux-meules,CA,47.38,-61.86,44.6,70,30,13.87,scattered clouds
89,ketou,BJ,7.36,2.6,76.5,91,76,4.81,broken clouds
90,acapulco,MX,16.86,-99.89,85.57,66,31,8.99,scattered clouds
91,teguise,ES,29.06,-13.56,69.8,77,20,9.17,few clouds
92,mayor pablo lagerenza,PY,-19.93,-60.77,82.31,32,0,4.7,clear sky
93,ahipara,NZ,-35.17,173.17,70.21,68,94,7.29,overcast clouds
94,waingapu,ID,-9.66,120.26,79.11,77,94,5.75,overcast clouds
95,carnarvon,AU,-24.87,113.63,68.0,64,0,18.34,clear sky
96,paracuru,BR,-3.41,-39.03,81.0,78,3,15.99,clear sky
97,nizwa,OM,22.93,57.53,59.83,33,0,1.3,clear sky
98,acajutla,SV,13.59,-89.83,84.2,51,0,5.82,clear sky
99,raga,SS,8.46,25.68,74.95,74,100,4.36,overcast clouds
100,borehamwood,GB,51.65,-0.28,62.6,88,75,18.34,broken clouds
101,anadyr,RU,64.75,177.48,15.8,85,75,2.24,light snow
102,santa elena,EC,-2.23,-80.85,75.2,78,75,12.75,broken clouds
103,bilma,NE,18.69,12.92,71.67,24,0,6.51,clear sky
104,leh,IN,34.17,77.58,28.35,69,13,3.11,few clouds
105,valledupar,CO,10.46,-73.25,79.05,87,85,4.16,moderate rain
106,lagoa,PT,39.05,-27.98,63.19,75,95,19.04,overcast clouds
107,dikson,RU,73.51,80.55,17.24,98,96,8.14,overcast clouds
108,rovenki,UA,48.08,39.38,52.32,87,82,12.75,broken clouds
109,abyek,IR,36.07,50.55,55.4,37,40,6.93,scattered clouds
110,hilo,US,19.73,-155.09,84.2,62,90,6.93,overcast clouds
111,chokurdakh,RU,70.63,147.92,0.48,94,100,11.39,light snow
112,salvador,SV,13.83,-88.92,87.8,58,40,11.41,scattered clouds
113,kapoeta,SS,4.77,33.59,81.55,47,17,11.79,few clouds
